Neighborhood,Lat,Lon,Type
Civic Center,34.06252029091686,-118.23824936956532,Chinese Restaurant
Civic Center,34.0543171973882,-118.24175235053629,Asian Restaurant
Civic Center,34.05702517252713,-118.23854560787346,Taco Place
Civic Center,34.06079832016405,-118.24429359451125,Mexican Restaurant
Civic Center,34.065954243017565,-118.23806105267886,Chinese Restaurant
Civic Center,34.05182384275727,-118.24601054191588,Construction & Landscaping
Civic Center,34.04833895787276,-118.25116904099039,Mexican Restaurant
Civic Center,34.0585706,-118.2391475,Mexican Restaurant
Civic Center,34.05334,-118.252679,Food
Civic Center,34.05858,-118.24042,Mexican Restaurant
Civic Center,34.050814,-118.24203,Japanese Restaurant
Civic Center,34.059705,-118.238713,Food
Civic Center,34.06174601349882,-118.2399134943307,Chinese Restaurant
Civic Center,34.06077009373006,-118.24026185059148,Vietnamese Restaurant
Civic Center,34.060927,-118.238928,Food
Civic Center,34.05266106431324,-118.25307059000546,Italian Restaurant
Civic Center,34.05441,-118.255175,Pizza Place
Civic Center,34.063988,-118.23791100000001,Chinese Restaurant
Civic Center,34.06522834678868,-118.24777703626576,Mexican Restaurant
Civic Center,34.059913,-118.237576,Chinese Restaurant
Civic Center,34.053523,-118.256094,Japanese Restaurant
Civic Center,34.060238,-118.238327,Seafood Restaurant
Civic Center,34.049786,-118.241928,Food
Civic Center,34.052236329657745,-118.24368255726505,Mexican Restaurant
Civic Center,34.0596215334771,-118.23701322672596,Sandwich Place
Civic Center,34.050188,-118.240606,Japanese Restaurant
Civic Center,34.052089,-118.25806100000001,American Restaurant
Civic Center,34.049832,-118.240224,Japanese Restaurant
Civic Center,34.06364617250033,-118.23766989273867,Chinese Restaurant
Civic Center,34.06301804411398,-118.24047344885122,Chinese Restaurant
Civic Center,34.048961479107724,-118.23866128921509,Other Nightlife
Civic Center,34.052405479537676,-118.25228827359848,Chinese Restaurant
Civic Center,34.050088,-118.240379,Asian Restaurant
Crenshaw,33.930740723295,-118.32400918006896,Restaurant
Crenshaw,33.92062494615838,-118.32848310470582,Corporate Cafeteria
Crenshaw,33.916876,-118.326128,BBQ Joint
Cypress Park,34.084284,-118.221599,Taco Place
Cypress Park,34.092589000000004,-118.224433,Latin American Restaurant
Cypress Park,34.094084027522264,-118.22646843219778,Mexican Restaurant
Cypress Park,34.086627,-118.22375100000001,Mexican Restaurant
Cypress Park,34.095344,-118.22801,Food
Cypress Park,34.09006680508574,-118.21231586369014,Mexican Restaurant
Cypress Park,34.087941,-118.21792099999999,Food
Cypress Park,34.087647,-118.217798,Latin American Restaurant
Cypress Park,34.084753000000006,-118.22211200000001,Food
Cypress Park,34.095628999999995,-118.22791200000002,Mexican Restaurant
Cypress Park,34.088716038644144,-118.21455310643212,Mexican Restaurant
Del Rey,33.992181,-118.422444,Mexican Restaurant
Del Rey,33.99199104714049,-118.42234181496214,Sushi Restaurant
Del Rey,33.984571113226394,-118.43910511556277,Sushi Restaurant
Del Rey,33.99262637482494,-118.42278531530037,Mexican Restaurant
East Hollywood,34.09095233810741,-118.32233363313297,Burrito Place
East Hollywood,34.09413313868069,-118.327038009681,Cuban Restaurant
East Hollywood,34.083233457837586,-118.3263327243799,Seafood Restaurant
East Hollywood,34.104642,-118.31901299999998,French Restaurant
East Hollywood,34.090704,-118.32731,Korean Restaurant
East Hollywood,34.090545654296875,-118.31592559814453,Thai Restaurant
East Hollywood,34.093688,-118.326654,Food
East Hollywood,34.09840804015162,-118.32211729373411,Japanese Restaurant
East Hollywood,34.10170009076605,-118.31817806742343,Thai Restaurant
East Hollywood,34.097923,-118.326126,Food
East Hollywood,34.090537,-118.311203,Food
East Hollywood,34.09127371961318,-118.32848846912384,Indian Restaurant
East Hollywood,34.10182994984895,-118.31217118494793,Thai Restaurant
East Hollywood,34.083470644528795,-118.32224857793477,Seafood Restaurant
East Hollywood,34.099425,-118.326741,Food
East Hollywood,34.10220583378791,-118.31505164321901,Thai Restaurant
East Hollywood,34.085116,-118.32636799999999,Food
East Hollywood,34.083764,-118.32399099999999,Food
East Hollywood,34.09077978835896,-118.30876573043128,Mexican Restaurant
East Hollywood,34.087605,-118.3091394,Food
East Hollywood,34.08766120517553,-118.3089067461734,Thai Restaurant
East Hollywood,34.08335381284301,-118.3263135242592,Asian Restaurant
East Hollywood,34.102198887215756,-118.3151186197671,South American Restaurant
East Hollywood,34.09947752929609,-118.30916147123146,Mexican Restaurant
East Hollywood,34.090467088440946,-118.31393180840145,Thai Restaurant
East Hollywood,34.097263615355494,-118.32603845586152,American Restaurant
East Hollywood,34.094138,-118.327493,Sandwich Place
East Hollywood,34.090402000000005,-118.313229,Latin American Restaurant
East Hollywood,34.097617,-118.32808700000001,Sushi Restaurant
East Hollywood,34.09418526456992,-118.32721049528297,Japanese Restaurant
East Hollywood,34.10541125073499,-118.31835848746175,French Restaurant
East Hollywood,34.08317031043542,-118.32854292855185,South American Restaurant
Echo Park,34.078103415800804,-118.26157508658508,French Restaurant
Echo Park,34.07784603974148,-118.26652057370575,Building
Echo Park,34.07820476300513,-118.2611142667428,Mexican Restaurant
Echo Park,34.066297999999996,-118.25391699999999,Sushi Restaurant
Echo Park,34.07780182922371,-118.2614400448292,Diner
Echo Park,34.07793586324565,-118.25963194370927,Mexican Restaurant
Echo Park,34.07424337502603,-118.2522421389902,Breakfast Spot
Echo Park,34.076074,-118.256035,Food
Echo Park,34.077499,-118.257004,Food
Echo Park,34.069528,-118.265764,Food
Echo Park,34.074249,-118.252389,Food
Echo Park,34.07077894,-118.26904535293579,Cuban Restaurant
Echo Park,34.08060371875763,-118.26983392238617,South American Restaurant
Echo Park,34.071524369798944,-118.27292220631571,Filipino Restaurant
Echo Park,34.07137549071787,-118.27168001771473,Filipino Restaurant
Echo Park,34.07614052295685,-118.26402282714844,Latin American Restaurant
Echo Park,34.077738000000004,-118.261344,Restaurant
Edendale,34.106117,-118.256949,Restaurant
Edendale,34.10460607934933,-118.25884253377507,Diner
Edendale,34.116669326534755,-118.26188182768563,Latin American Restaurant
Edendale,34.10781019565671,-118.26679692121121,Vegetarian / Vegan Restaurant
Edendale,34.1084388194433,-118.26810850038308,American Restaurant
Edendale,34.106047,-118.257,Food
Edendale,34.1046729270102,-118.25811782765513,Mexican Restaurant
Edendale,34.104598660264834,-118.2581469942524,Italian Restaurant
El Sereno,34.08476000514662,-118.17904882642024,Mexican Restaurant
El Sereno,34.07404930020562,-118.18144246542434,Cuban Restaurant
El Sereno,34.086206,-118.17716599999999,Mexican Restaurant
El Sereno,34.085529,-118.178711,Brazilian Restaurant
El Sereno,34.08899196757648,-118.1722672784793,Mexican Restaurant
Elysian Heights,34.086627,-118.22375100000001,Mexican Restaurant
Elysian Heights,34.078604,-118.240625,Café
